NIT,SXT,CIP,LVX,iat_prop,broad_prop,iat_prop_decision,broad_prop_decision,iat_diff_mean,iat_diff_std,broad_diff_mean,broad_diff_std,defer_rate,NIT_thresh,SXT_thresh,CIP_thresh,LVX_thresh
0.001,0.001,0.001,0.001,0.12802980561014618,0.4260500931892025,0.046192262132817005,0.6977093346281484,-8.700000000000003,5.158488150611577,42.4,22.350391495452605,0.9153296205143837,,,,
0.001,0.001,0.015,0.015,0.12211400215738015,0.4686248852956818,0.04193753067337296,0.8410532797772567,-16.200000000000003,5.005996404313533,96.45,23.516961963655085,0.8493862558167906,,,,
0.001,0.001,0.1,0.1,0.10381105328430511,0.6035581988623925,0.04019833091210965,0.9340542347447608,-39.45,6.515174594744185,267.8,36.87221175899272,0.6407364091672594,,,,
0.001,0.001,0.2,0.2,0.0907430674707356,0.707472852450192,0.03951886100200484,0.9548806364687698,-56.1,9.289241088485111,400.05,29.268541132075566,0.47514117935080113,,,,
0.001,0.001,0.3,0.3,0.08095071634336573,0.7861110220874623,0.043204517071324514,0.9642701395859239,-68.55,9.982359440533088,500.15,27.43405730109931,0.3417345420327961,,,,
0.001,0.001,0.4,0.4,0.07152901998140784,0.8514645043568432,0.044459478347157785,0.9695091628772217,-80.5,10.30291220966189,583.25,27.71439156828089,0.2293604096928262,,,,
0.001,0.001,0.5,0.5,0.0652117944623422,0.9015367648590924,0.044727772318831335,0.9727516393023532,-88.55,11.146636263913885,646.85,26.444801001331047,0.13630949526098077,,,,
0.001,0.001,0.6,0.6,0.06167274796538593,0.9321931288830585,0.04645420191560966,0.9745180927598556,-93.05,10.683983339560202,685.85,27.989774918709145,0.07649179147041954,,,,
0.001,0.001,0.7,0.7,0.05900729168469262,0.9496570179256205,0.04832000459069135,0.9755004315776749,-96.45,11.5259489847908,708.05,28.187718957020987,0.03985411820781035,,,,
0.001,0.001,0.8,0.8,0.057523925723344305,0.9652058958515356,0.05256421716615568,0.9761183042084427,-98.35,11.52508134461532,727.85,28.902032800479606,0.014652207882506495,,,,
0.001,0.001,0.9,0.9,0.05945031913276968,0.9718052240496979,0.0574402244555962,0.9763508458955714,-95.9,10.830050784737809,736.25,29.202525575710066,0.005264022925022149,,,,
0.001,0.015,0.001,0.001,0.1294833649569116,0.4151553929253584,0.07206142680110389,0.5328186113896469,-6.850000000000003,5.543239125276848,28.55,21.509242199575507,0.8963957810374383,,,,
0.001,0.015,0.015,0.015,0.12372455448941007,0.455957725069091,0.05925635896514821,0.7210803417712691,-14.150000000000002,5.8674952066448265,80.35,22.976672953236715,0.8327395925462007,,,,
0.001,0.015,0.1,0.1,0.10597427428716603,0.5873800011599857,0.0481481739095029,0.8750706302161001,-36.7,7.477298977572051,247.25,36.23654922864482,0.6292123449114109,,,,
0.001,0.015,0.2,0.2,0.09310240009700425,0.6887395151165225,0.04508815811380832,0.9136693982838553,-53.1,9.878765105011862,376.25,27.35484417795138,0.46711536365602413,,,,
0.001,0.015,0.3,0.3,0.08358501486077545,0.7663556823430436,0.04770931688364678,0.9310035422246473,-65.2,10.45275083411061,475.05,26.82997390978978,0.3357931716539325,,,,
0.001,0.015,0.4,0.4,0.0742819342961232,0.8306813581861823,0.04823594021279407,0.9407697970220189,-77.0,10.295630140987004,556.85,29.798112356322154,0.22550923940404138,,,,
0.001,0.015,0.5,0.5,0.06804360965514497,0.8800423466585571,0.04804249869317752,0.9470096945213624,-84.95,10.772534520715174,619.55,29.183000188465865,0.13419041564156506,,,,
0.001,0.015,0.6,0.6,0.0645045631581887,0.9104235180365455,0.049597198522364785,0.9503826666202853,-89.45,10.121635243378416,658.2,30.745080907358165,0.07535614814941079,,,,
0.001,0.015,0.7,0.7,0.06191647892179351,0.9276926780205598,0.051378170742621035,0.9522625507875826,-92.75,10.76510566599325,680.15,30.36819882706247,0.03950349009953742,,,,
0.001,0.015,0.8,0.8,0.060471932836221584,0.9429677329349456,0.05554891300511703,0.9534816619348314,-94.6,10.603772913449253,699.6,30.673115264022293,0.014575402785762753,,,,
0.001,0.015,0.9,0.9,0.06235986470718543,0.9494902560363642,0.060362967968123085,0.9539219226004318,-92.2,9.9428366173844,707.9,30.911001277862244,0.005264022925022149,,,,
0.001,0.1,0.001,0.001,0.1396375378513933,0.3592029009509431,0.14522728399858553,0.2035543169035618,6.049999999999996,6.674391358019102,-42.6,19.236423784061316,0.7764701915072146,,,,
0.001,0.1,0.015,0.015,0.13442955322266664,0.39129680542935663,0.1252820707323893,0.35136266317309023,-0.5500000000000034,6.061971626459504,-1.8500000000000032,18.507498480345735,0.7263743701229106,,,,
0.001,0.1,0.1,0.1,0.11973503458362658,0.4967579930375751,0.09282901306892721,0.5959995287010327,-19.200000000000003,7.345747068882787,132.1,24.043502240730245,0.5620573627943448,,,,
