NIT,SXT,CIP,LVX,iat_prop,broad_prop,iat_prop_decision,broad_prop_decision,iat_diff_mean,iat_diff_std,broad_diff_mean,broad_diff_std,defer_rate,NIT_thresh,SXT_thresh,CIP_thresh,LVX_thresh
0.001,0.001,0.9,0.9,0.047389555228938396,0.9783052448259053,0.045636954685471215,0.9816639269144763,-119.85,13.081571006572569,1234.25,28.230967039759758,0.005136941130437889,,,,
0.001,0.015,0.001,0.001,0.09686233480385036,0.43535272205017445,0.059773228173331305,0.3416212444692653,-6.599999999999999,5.834380858325931,-8.450000000000017,33.01435293928991,0.9236589284181587,,,,
0.001,0.015,0.015,0.015,0.0926418003364169,0.47988919989856527,0.04392777201543344,0.6611502225071111,-16.250000000000004,6.31565515208042,93.39999999999999,39.8615102573899,0.8537329075777969,,,,
0.001,0.015,0.1,0.1,0.07867228247335481,0.6186121728939177,0.03468211080276008,0.8712428912619028,-48.25,8.898735865278848,411.05,41.979131720415566,0.6253783505761182,,,,
0.001,0.015,0.2,0.2,0.06907645413074343,0.7222326877176871,0.03500884930378298,0.9126566439546947,-70.2,11.439405578962567,648.25,29.651096101156174,0.4480450958516163,,,,
0.001,0.015,0.3,0.3,0.06261691862963643,0.7945019509070602,0.03608267611536551,0.9292834317100367,-85.0,9.848857801796104,813.65,31.450397453768336,0.31828628447340185,,,,
0.001,0.015,0.4,0.4,0.05660976810215786,0.84828355304843,0.03656218417838389,0.9382639144748319,-98.75,9.781998773256925,936.75,34.15387972105073,0.21940666320143082,,,,
0.001,0.015,0.5,0.5,0.05126020007322048,0.8889992238970844,0.03665695907345341,0.9440207855541505,-111.0,10.881176406988356,1029.95,35.498556308672605,0.13795547177674697,,,,
0.001,0.015,0.6,0.6,0.04770094223136122,0.9189236347654139,0.036926988315876055,0.9479213170926416,-119.15,11.010336053000382,1098.45,35.029237787882295,0.0730268448646872,,,,
0.001,0.015,0.7,0.7,0.04629845783242338,0.9375246931195373,0.039408643315812716,0.9502419684707313,-122.35,10.854837631213096,1140.95,27.77494374431741,0.030209060579725368,,,,
0.001,0.015,0.8,0.8,0.04666838291677633,0.9454545756946372,0.04321544275786944,0.95122779446622,-121.5,11.825819210524067,1159.1,28.595279330686754,0.010736246701863494,,,,
0.001,0.015,0.9,0.9,0.04819942275331593,0.9485164083224683,0.04663125334077699,0.9515216807029034,-118.0,12.763228431709589,1166.1,28.211522468665137,0.004764197197521381,,,,
