,0,1,2
TOTAL,1572.0,1185.0,1184.0
NIT_YES,1456.0,978.0,799.0
NIT_YES%,0.9262,0.8253,0.6748
NIT_NO,116.0,207.0,385.0
NIT_NO%,0.0738,0.1747,0.3252
NIT_APP%,89.63,91.0,90.24
SXT_YES,1.0,5.0,5.0
SXT_YES%,0.0086,0.0242,0.013
SXT_NO,115.0,202.0,380.0
SXT_NO%,0.9914,0.9758,0.987
SXT_APP%,100.0,60.0,100.0
CIP_YES,109.0,193.0,361.0
CIP_YES%,0.9478,0.9554,0.95
CIP_NO,6.0,9.0,19.0
CIP_NO%,0.0522,0.0446,0.05
CIP_APP%,94.5,91.71,93.35
LVX_YES,0.0,1.0,0.0
LVX_YES%,0.0,0.1111,0.0
LVX_NO,6.0,8.0,19.0
LVX_NO%,1.0,0.8889,1.0
LVX_APP%,100.0,0.0,100.0
DEFER,6.0,8.0,19.0
