,0,1,2
TOTAL,1572.0,1185.0,1184.0
NIT_YES,1456.0,978.0,799.0
NIT_YES%,0.9262,0.8253,0.6748
NIT_NO,116.0,207.0,385.0
NIT_NO%,0.0738,0.1747,0.3252
NIT_APP%,89.63,91.0,90.24
SXT_YES,30.0,36.0,111.0
SXT_YES%,0.2586,0.1739,0.2883
SXT_NO,86.0,171.0,274.0
SXT_NO%,0.7414,0.8261,0.7117
SXT_APP%,90.0,80.56,93.69
CIP_YES,81.0,164.0,256.0
CIP_YES%,0.9419,0.9591,0.9343
CIP_NO,5.0,7.0,18.0
CIP_NO%,0.0581,0.0409,0.0657
CIP_APP%,92.59,91.46,92.19
LVX_YES,0.0,1.0,0.0
LVX_YES%,0.0,0.1429,0.0
LVX_NO,5.0,6.0,18.0
LVX_NO%,1.0,0.8571,1.0
LVX_APP%,100.0,0.0,100.0
DEFER,5.0,6.0,18.0
