NIT,SXT,CIP,LVX,iat_prop,broad_prop,iat_prop_decision,broad_prop_decision,iat_diff_mean,iat_diff_std,broad_diff_mean,broad_diff_std,defer_rate,NIT_thresh,SXT_thresh,CIP_thresh,LVX_thresh
0.3,0.3,0.3,0.3,0.1059691011235955,0.26752808988764043,0.09375768366414919,0.21376835040984923,-22.550000000000004,17.71009599070542,-551.6,67.28848341283964,0.20992977528089884,,,,
0.3,0.3,0.6,0.6,0.09518258426966295,0.3489185393258427,0.08705591179901334,0.34135342472579916,-60.95,17.7664712309451,-261.85,68.34272089988808,0.05696629213483147,,,,
0.3,0.6,0.3,0.3,0.12759831460674156,0.12113764044943823,0.12108958247180839,0.07498293446083704,54.44999999999999,20.118337406455822,-1072.75,42.48279063338472,0.11974719101123596,,,,
0.3,0.6,0.6,0.6,0.12200842696629213,0.16237359550561797,0.11587975961870756,0.14888003280367548,34.54999999999999,20.986841115327472,-925.95,43.586092965532,0.04331460674157303,,,,
0.6,0.3,0.3,0.3,0.10462078651685396,0.11603932584269663,0.09520141799293634,0.06969056586331604,-27.350000000000005,16.77282027567219,-1090.9,48.67740749053919,0.1157865168539326,,,,
0.6,0.3,0.6,0.6,0.09950842696629214,0.15360955056179776,0.09244745675086988,0.13831201104035257,-45.55000000000001,19.607332811986442,-957.15,49.8891521274916,0.045379213483146066,,,,
0.6,0.6,0.3,0.3,0.11241573033707866,0.061544943820224705,0.10537027677418276,0.030966695749338347,0.39999999999999236,19.035230495058368,-1284.9,34.02631334717296,0.0722191011235955,,,,
0.6,0.6,0.6,0.6,0.10966292134831461,0.08224719101123597,0.10373303475278037,0.06878593259412127,-9.400000000000006,20.751867385852286,-1211.2,33.277019097268926,0.03453651685393259,,,,
